vp time CCC KSU PME BKS BES LBS
ExampleVP2 229 151.93 367.09 1469.28 1578.73 1134.8 3460.09
ExampleVP2 230 151.68 366.67 1468.36 1577.86 1134.73 3459.65
ExampleVP2 231 150.95 365.85 1467.19 1576.2 1132.53 3458.47
ExampleVP2 232 151.89 366.81 1467.86 1577.38 1133.68 3459.62
ExampleVP2 233 151.9 365.73 1467.85 1577.39 1133.66 3459.7
ExampleVP2 234 151.87 365.78 1467.82 1577.35 1133.66 3459.68
ExampleVP2 235 151.84 365.79 1467.86 1577.41 1133.62 3459.59
ExampleVP2 236 151.8 366.21 1467.87 1577.37 1133.73 3459.34
ExampleVP2 237 152.46 367.53 1469.77 1578.54 1136.75 3459.9
ExampleVP2 238 150.66 365.72 1467.96 1575.36 1133.3 3464.66
ExampleVP2 239 150.97 365.78 1467.38 1576.7 1133.53 3461.74
ExampleVP2 240 151.07 365.74 1467.84 1577.29 1133.68 3456.02
ExampleVP2 241 151.53 365.78 1467.83 1577.39 1133.69 3456.04
ExampleVP2 242 151.38 365.71 1467.85 1577.33 1133.71 3456.09
ExampleVP2 243 151.16 365.73 1467.87 1577.39 1133.67 3456.01
ExampleVP2 244 151.53 365.82 1467.86 1577.39 1133.72 3456.06
ExampleVP2 245 150.45 365.71 1467.76 1577.36 1133.7 3456
ExampleVP2 246 151.47 365.73 1467.89 1577.4 1133.64 3456.05
ExampleVP2 247 151.67 365.76 1467.79 1577.35 1133.69 3456.03
ExampleVP2 248 151.76 365.73 1467.85 1577.34 1133.7 3456.01
ExampleVP2 249 151.89 365.76 1467.92 1577.18 1133.64 3456.05
ExampleVP2 250 151.27 365.75 1467.84 1577.39 1133.73 3456.05
ExampleVP2 251 151.9 365.72 1467.88 1577.4 1133.68 3456.08
ExampleVP2 252 151.67 365.67 1467.85 1577.38 1133.69 3456.06
ExampleVP2 253 151 365.74 1467.89 1577.34 1133.65 3456.06
ExampleVP2 254 151.64 365.75 1467.82 1577.35 1133.76 3456.03
ExampleVP2 255 151.54 365.73 1467.76 1577.39 1133.67 3456.02
ExampleVP2 256 151.66 365.69 1467.83 1577.33 1133.72 3456.06
ExampleVP2 257 151.3 365.68 1467.85 1576.59 1133.61 3456
ExampleVP2 258 151.19 365.79 1467.86 1577.32 1133.7 3456.02
ExampleVP2 259 151.78 365.76 1467.89 1577.35 1133.74 3456.04
ExampleVP2 260 150.42 365.76 1467.85 1577.37 1133.66 3456.02
ExampleVP2 261 150.8 365.83 1467.89 1577.37 1133.66 3456
ExampleVP2 262 150.9 365.78 1467.84 1577.38 1133.66 3456.05
ExampleVP2 263 151.91 365.77 1467.81 1577.35 1133.67 3464.08
ExampleVP2 264 150.93 365.76 1467.83 1577.19 1133.7 3534.39
ExampleVP2 265 151.85 365.76 1467.85 1577.47 1133.71 3442.48
ExampleVP2 266 151.42 365.8 1467.84 1577.38 1133.71 3442.46
ExampleVP2 267 151.38 365.8 1467.83 1577.35 1133.68 3442.46
ExampleVP2 268 150.65 365.73 1467.86 1577.35 1133.7 3442.4
ExampleVP2 269 150.41 365.76 1467.8 1577.36 1133.65 3442.5
ExampleVP2 270 150.42 365.74 1467.84 1577.4 1133.7 3442.45
ExampleVP2 271 150.49 365.7 1467.81 1577.37 1133.66 3442.48
ExampleVP2 272 150.57 365.75 1467.88 1577.43 1133.61 3442.47
ExampleVP2 273 151.13 365.81 1467.82 1577.4 1133.63 3442.41
ExampleVP2 274 150.94 365.79 1467.89 1577.36 1133.71 3442.44
ExampleVP2 275 150.43 365.71 1467.82 1577.35 1133.76 3442.52
ExampleVP2 276 150.4 365.74 1467.82 1577.41 1133.72 3442.52
ExampleVP2 277 151.43 365.79 1467.81 1577.37 1133.68 3442.46
ExampleVP2 278 151.3 365.69 1467.8 1577.46 1133.73 3442.49
ExampleVP2 279 151.28 365.77 1467.83 1577.37 1133.76 3442.52
ExampleVP2 280 150.92 365.76 1467.92 1577.39 1133.73 3442.51
ExampleVP2 281 151.31 365.83 1467.85 1577.37 1133.68 3442.5
ExampleVP2 282 151.27 365.78 1467.84 1577.07 1133.66 3479.21
ExampleVP2 283 151.37 365.74 1467.82 1577.38 1133.67 3612.04
ExampleVP2 284 151.23 365.75 1467.82 1577.39 1133.64 3447.12
ExampleVP2 285 150.41 365.78 1467.83 1577.37 1133.69 3431.7
ExampleVP2 286 151.03 365.81 1467.84 1577.43 1133.67 3431.71
ExampleVP2 287 150.4 365.77 1467.81 1577.39 1133.72 3431.68
ExampleVP2 288 151.16 365.75 1467.79 1577.37 1133.72 3431.7
ExampleVP2 289 151.87 365.78 1467.87 1577.37 1133.75 3431.72
ExampleVP2 290 151.7 365.79 1467.83 1577.41 1133.72 3431.74
ExampleVP2 291 151.02 365.76 1467.89 1577.39 1133.67 3431.68
ExampleVP2 292 151.75 365.77 1467.84 1577.4 1133.72 3431.75
ExampleVP2 293 151.82 365.83 1467.86 1577.41 1133.66 3431.7
ExampleVP2 294 151.85 365.82 1467.82 1577.39 1133.69 3431.75
ExampleVP2 295 150.84 365.8 1467.84 1577.38 1133.64 3431.68
ExampleVP2 296 151.52 365.76 1467.79 1577.35 1133.61 3431.71
ExampleVP2 297 150.55 365.75 1467.82 1577.37 1133.74 3431.75
ExampleVP2 298 150.55 365.78 1467.91 1577.34 1133.68 3431.77
ExampleVP2 299 150.49 365.84 1467.79 1577.37 1133.65 3431.64
ExampleVP2 300 151.94 365.79 1467.93 1577.44 1133.72 3431.61
ExampleVP2 301 151.29 365.78 1467.83 1577.4 1133.72 3431.71
ExampleVP2 302 150.94 365.84 1467.86 1577.01 1133.73 3431.72
ExampleVP2 303 151.53 365.77 1467.82 1577.4 1133.75 3431.75
ExampleVP2 304 151.27 365.78 1467.87 1577.41 1133.75 3431.77
ExampleVP2 305 150.88 365.84 1467.93 1577.35 1133.69 3431.79
ExampleVP2 306 151.64 365.78 1467.82 1577.37 1133.72 3431.69
ExampleVP2 307 150.45 365.78 1467.9 1577.35 1133.77 3431.69
ExampleVP2 308 151.02 365.84 1467.87 1577.33 1133.73 3431.76
ExampleVP2 309 151.86 365.84 1467.89 1577.38 1133.62 3431.77
ExampleVP2 310 151.88 365.86 1467.86 1577.38 1133.68 3431.73
ExampleVP2 311 151.86 365.76 1467.86 1577.43 1133.7 3431.71
ExampleVP2 312 151.94 365.81 1467.81 1577.38 1133.66 3431.74
ExampleVP2 313 151.62 365.77 1467.88 1577.41 1133.73 3431.64
ExampleVP2 314 151.64 365.78 1467.83 1577.38 1133.6 3431.75
ExampleVP2 315 151.21 365.78 1467.79 1577.41 1133.62 3431.77
ExampleVP2 316 151.52 365.81 1467.83 1577.36 1133.78 3431.75
ExampleVP2 317 151.15 365.83 1467.84 1577.43 1133.7 3431.66
ExampleVP2 318 151.87 365.82 1467.88 1577.21 1133.69 3431.69
ExampleVP2 319 151.82 365.8 1467.87 1577.36 1133.69 3431.79
ExampleVP2 320 150.58 365.79 1467.82 1577.39 1133.7 3431.8
ExampleVP2 321 151.22 365.74 1467.83 1577.41 1133.65 3431.68
ExampleVP2 322 151.76 365.83 1467.84 1577.14 1133.7 3431.73
ExampleVP2 323 151.14 365.73 1467.87 1577.41 1133.69 3431.71
ExampleVP2 324 151.28 365.71 1467.84 1577.36 1133.69 3431.74
ExampleVP2 325 151.91 365.86 1467.79 1577.22 1133.73 3431.3
ExampleVP2 326 151.46 365.75 1467.79 1577.37 1133.65 3431.69
ExampleVP2 327 151.53 365.78 1467.85 1577.39 1133.72 3431.68
ExampleVP2 328 151.35 365.8 1467.85 1577.39 1133.72 3431.68
ExampleVP2 329 151.6 365.82 1467.81 1577.44 1133.68 3431.69
ExampleVP2 330 151.37 365.74 1467.82 1576.91 1133.74 3431.73
ExampleVP2 331 151.76 365.78 1467.87 1577.4 1133.7 3431.73
ExampleVP2 332 151.13 365.79 1467.89 1577.36 1133.69 3431.7
ExampleVP2 333 151.88 365.77 1467.84 1577.44 1133.7 3431.65
ExampleVP2 334 150.62 365.81 1467.88 1577.36 1133.7 3431.71
ExampleVP2 335 151.61 365.84 1467.83 1577.38 1133.71 3432.7
ExampleVP2 336 151.89 365.83 1467.81 1577.38 1133.68 3438.1
ExampleVP2 337 151.81 365.81 1467.86 1577.34 1133.63 3431.7
ExampleVP2 338 151.82 365.78 1467.79 1577.39 1133.73 3431.76
ExampleVP2 339 151.87 365.74 1467.83 1577.39 1133.71 3431.72
ExampleVP2 340 151.65 365.83 1467.83 1577.38 1133.67 3431.73
ExampleVP2 341 151.91 365.73 1467.82 1577.38 1133.68 3431.72
ExampleVP2 342 151.04 365.88 1467.82 1577.4 1133.73 3431.74
ExampleVP2 343 151.84 365.73 1467.84 1577.36 1133.73 3431.69
ExampleVP2 344 151.85 365.84 1467.83 1577.37 1133.62 3431.77
ExampleVP2 345 151.82 365.77 1467.78 1577.41 1133.64 3431.73
ExampleVP2 346 151.87 365.86 1467.85 1577.44 1133.74 3431.72
ExampleVP2 347 151.87 365.81 1467.86 1577.31 1133.69 3431.76
ExampleVP2 348 151.29 365.73 1467.76 1576.69 1133.71 3431.73
